StateAbbreviation,Tags,Text,StateName,2023 Minimum Hourly Wage,2023 Taxable Wage Base
AK,,,Alaska,10.85,46800
AL,,,Alabama,7.25,8000
AR,,,Arkansas,11,10000
AZ,,,Arizona,13.85,8000
CA,,,California,15.5,7000
CO,,,Colorado,13.65,20400
CT,,,Connecticut,14,15000
DC,,,District of Columbia,16.1,9000
DE,,,Delaware,11.75,14500
FL,,,Florida,12,7000
GA,,,Georgia,7.25,9500
HI,,,Hawaii,12,55800
IA,,,Iowa,7.25,36100
ID,,,Idaho,7.25,50000
IL,,,Illinois,12,12960
IN,,,Indiana,7.25,9500
KS,,,Kansas,7.25,14000
KY,,,Kentucky,7.25,10800
LA,,,Louisiana,7.25,7700
MA,,,Massachussets,15,15000
MD,,,Maryland,13.25,8500
ME,,,Maine,12.75,12000
MI,,,Michigan,12,9500
MN,,,Minnesota,10.59,41000
MO,,,Missouri,11,10500
MS,,,Mississippi,7.25,14000
MT,,,Montana,9.95,40900
NC,,,North Carolina,7.25,30000
ND,,,North Dakota,7.25,38400
NE,,,Nebraska,9,9000
NH,,,New Hampshire,7.25,14000
NJ,,,New Jersey,14.13,41100
NM,,,New Mexico,12,30400
NV,,,Nevada,11.25,40100
NY,,,New York,14.2,12300
OH,,,Ohio,10.1,9000
OK,,,Oklahoma,7.25,25700
OR,,,Oregon,13.5,51600
PA,,,Pennsylvania,7.25,10000
RI,,,Rhode Island,13,24600
SC,,,South Carolina,7.25,14000
SD,,,South Dakota,10.8,15000
TN,,,Tennessee,7.25,7000
TX,,,Texas,7.25,9000
UT,,,Utah,7.25,44300
VA,,,Virgina,13,8000
VT,,,Vermont,12.55,13500
WA,,,Washington,15.74,67600
WI,,,Wisconsin,7.25,14000
WV,,,West Virginia,8.75,9000
WY,,,Wyoming,7.25,29100
